Frequenza,Ampiezza Va,Ampiezza Vb,Ampiezza Va-b,ddf a/b,ddf a-b/a
100,10.0,9.8,0.4,0,-84.0
250,9.9,9.8,0.7,1,-80.0
400,9.9,9.8,0.7,1,-75.0
500,9.6,9.04,1.36,7,-68.0
700,9.6,9.04,1.84,10,-69.0
900,9.6,8.9,2.2,12,-63.0
1100,9.6,8.8,2.64,15,-62.0
1400,9.6,8.7,3.04,19,-66.0
1700,9.7,8.4,3.6,23,-62.0
2000,9.76,8.32,4.24,26,-60.0
2200,9.76,8.1,4.56,29,-58.0
2400,9.76,8.0,4.88,31,-56.0
2600,9.76,7.76,5.2,33,-51.0
2700,9.76,7.68,5.36,35,-51.0
2800,9.76,7.68,5.52,35,-50.0
2900,9.76,7.5,5.68,37,-49.0
3000,9.76,7.44,5.84,36,-48.0
3100,9.76,7.36,5.92,38,-47.0
3200,9.76,7.28,6.0,39,-47.0
3300,9.76,7.2,6.16,40,-46.0
3400,9.76,7.12,6.3,41,-46.0
3500,9.76,7.04,6.4,41,-45.0
3700,9.76,6.88,6.64,43,-45.0
4000,9.84,6.64,6.88,45,-42.0
4500,9.92,6.24,7.28,49,-38.0
5000,9.92,5.84,7.68,52,-36.0
6000,9.92,5.2,8.16,58,-31.0
7000,10.0,4.64,8.56,60,-28.0
8000,10.0,4.24,8.8,64,-25.0
10000,10.0,3.6,9.12,68,-20.0
15000,10.08,2.48,9.6,76,-14.0
20000,10.08,1.8,9.4,79,-9.0
30000,10.2,1.28,9.6,83,-9.0
50000,10.4,0.8,9.6,85,-6.0
75000,10.4,0.48,9.8,89,-2.0
100000,10.4,0.34,9.8,89,-0.5
