Frequenza,Ampiezza Va,Ampiezza Vb,Ampiezza Va-b,ddf a/b,ddf a-b/a
1000,10.2,0.6,9.8,-88,4.0
1500,10.0,0.9,9.8,-86,5.0
2000,10.0,1.2,9.8,-87,6.0
3000,10.0,2.2,9.6,-80,11.0
4000,10.0,3.5,9.4,-74,19.0
5000,10.0,5.1,8.8,-63,31.0
6000,9.8,7.5,6.9,-44,49.0
7000,9.6,9.7,2.6,-13,86.0
7500,9.6,9.8,0.5,2,90.0
8000,9.6,9.4,3.0,17,-75.0
9000,9.8,7.6,6.1,39,-49.0
10000,9.9,6.3,7.7,49,-40.0
11000,10.0,5.2,8.5,59,-29.0
12000,10.0,4.4,8.9,62,-27.0
13000,10.0,3.9,9.2,68,-23.0
14000,10.0,3.5,9.4,68,-20.0
16000,10.0,2.8,9.3,72,-18.0
18000,10.0,2.4,9.2,73,-14.0
22000,10.0,1.9,9.6,79,-8.0
25000,10.0,1.6,9.9,83,-9.0
30000,10.0,1.2,10.0,82,-5.0
35000,10.0,1.1,10.0,85,-6.0
45000,10.0,0.8,10.0,86,-5.0
70000,10.4,0.5,9.8,88,-3.0
100000,10.4,0.3,9.8,90,-2.0
150000,10.4,0.19,9.8,91,-0.4
